date,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume,23.0_close,23.0_high,23.0_low,23.0_open,23.0_volume,23.5_close,23.5_high,23.5_low,23.5_open,23.5_volume,24.0_close,24.0_high,24.0_low,24.0_open,24.0_volume,24.5_close,24.5_high,24.5_low,24.5_open,24.5_volume,25.0_close,25.0_high,25.0_low,25.0_open,25.0_volume,25.5_close,25.5_high,25.5_low,25.5_open,25.5_volume,26.0_close,26.0_high,26.0_low,26.0_open,26.0_volume,26.5_close,26.5_high,26.5_low,26.5_open,26.5_volume,27.0_close,27.0_high,27.0_low,27.0_open,27.0_volume,27.5_close,27.5_high,27.5_low,27.5_open,27.5_volume,28.0_close,28.0_high,28.0_low,28.0_open,28.0_volume,28.5_close,28.5_high,28.5_low,28.5_open,28.5_volume,29.0_close,29.0_high,29.0_low,29.0_open,29.0_volume,29.5_close,29.5_high,29.5_low,29.5_open,29.5_volume
2019-06-25,2019-06-25,27.05,27.181,26.37,26.4,17296855.0,4.0,4.1,3.45,3.55,95.0,3.2,3.2,3.1,3.1,15.0,3.05,3.05,2.55,2.55,108.0,2.61,2.61,2.25,2.25,67.0,2.17,2.17,1.47,1.53,609.0,1.67,1.67,1.13,1.13,262.0,1.12,1.28,0.72,0.79,1969.0,0.81,0.91,0.3,0.54,2236.0,0.59,0.67,0.3,0.39,6356.0,0.4,0.45,0.2,0.29,3978.0,0.3,0.32,0.14,0.2,37759.0,0.21,0.22,0.12,0.15,2393.0,0.13,0.21,0.08,0.21,1369.0,0.11,0.12,0.07,0.08,2922.0
2019-06-26,2019-06-26,26.84,27.05,26.39,26.52,13586640.0,3.7,3.7,3.7,3.7,10.0,3.25,3.25,2.92,2.92,24.0,2.73,3.05,2.4,2.4,203.0,2.42,2.48,2.04,2.04,92.0,1.81,2.05,1.44,1.48,748.0,1.26,1.6,1.13,1.16,244.0,0.92,1.14,0.71,0.81,4603.0,0.57,0.73,0.45,0.5,2970.0,0.35,0.52,0.29,0.35,2477.0,0.25,0.31,0.2,0.24,931.0,0.16,0.21,0.13,0.14,2187.0,0.11,0.15,0.1,0.1,2401.0,0.08,0.11,0.07,0.07,1857.0,0.06,0.09,0.05,0.09,63.0
2019-06-27,2019-06-27,26.42,26.795,26.2,26.65,14890831.0,3.4,3.4,3.4,3.4,3.0,2.86,2.94,2.73,2.94,12.0,2.46,2.62,2.46,2.62,10.0,1.89,2.06,1.86,2.06,51.0,1.4,1.77,0.84,1.49,1091.0,0.81,1.19,0.8,1.05,153.0,0.5,0.86,0.43,0.75,9498.0,0.21,0.49,0.21,0.45,3287.0,0.11,0.3,0.1,0.3,6784.0,0.05,0.16,0.05,0.15,3399.0,0.04,0.11,0.04,0.11,1676.0,0.03,0.06,0.03,0.06,2165.0,0.03,0.06,0.03,0.06,856.0,0.03,0.03,0.02,0.02,324.0
2019-06-28,2019-06-28,26.0,26.3,25.87,26.13,17624656.0,3.08,3.25,3.08,3.25,17.0,2.61,2.67,2.61,2.67,18.0,2.14,2.2,2.12,2.2,35.0,1.67,1.67,1.64,1.64,20.0,0.94,1.28,0.94,1.19,225.0,0.06,0.74,0.06,0.71,627.0,0.01,0.37,0.01,0.31,3545.0,0.01,0.4,0.01,0.4,3881.0,0.01,0.28,0.01,0.28,3543.0,0.01,0.24,0.01,0.24,633.0,0.01,0.03,0.01,0.03,465.0,0.01,0.02,0.01,0.01,187.0,0.01,0.02,0.01,0.02,189.0,0.01,0.01,0.01,0.01,102.0
2019-07-01,2019-07-01,24.56,25.08,24.46,24.55,30302465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-02,2019-07-02,23.65,24.6,23.61,24.6,26022509.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-03,2019-07-03,23.51,23.88,23.42,23.67,15809303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-05,2019-07-05,23.58,24.71,23.5,24.01,24124885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-08,2019-07-08,24.23,24.47,23.9,24.12,18014371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09,2019-07-09,24.3,24.96,24.22,24.96,15024150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-10,2019-07-10,23.56,23.9869,23.495,23.98,19868046.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-11,2019-07-11,23.17,23.6,23.025,23.23,21061186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-12,2019-07-12,22.8,23.19,22.75,23.01,18425836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-15,2019-07-15,22.71,22.93,22.58,22.69,15945412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
